Year,CO2 (ppmv),Temperature,Year(for Temp),Celsius Temperature,Temperature Anomaly,Year (for CH4),CH4 Mean,Year (for Ire records),Annual Mean Temperature (Ire),Temp Anomaly (Ire),Year (for Ire records),Annual Mean Precipitation (Ire),Precipitation Anomaly (Ire)
-771045.6363636361,243.85475201990903,215.6,-784734.0,-57.54999999999998,-1.8114942528735647,-768344,630.0,1948.0,9.78,0.3499999999999996,1948.0,1275.92,147.1300000000001
-770787.9595454549,246.4945680375353,215.5,-784208.7,-57.64999999999998,-1.91149425287356,-768130,622.0,1949.0,10.3,0.870000000000001,1949.0,1061.64,-67.14999999999986
-770524.5636363636,243.88525238228883,215.4,-783675.0,-57.74999999999997,-2.011494252873554,-767777,616.0,1950.0,9.16,-0.2699999999999996,1950.0,1227.92,99.13000000000012
-770225.2645454548,239.7120056138232,215.0,-783123.8,-58.14999999999998,-2.41149425287356,-767630,587.0,1951.0,8.96,-0.4699999999999988,1951.0,1210.41,81.62000000000012
-769862.666666667,234.24054819146696,215.0,-782571.7,-58.14999999999998,-2.41149425287356,-767350,570.0,1952.0,9.07,-0.3599999999999994,1952.0,938.01,-190.78
-769569.3333333333,236.31890028889168,215.0,-782020.2,-58.14999999999998,-2.41149425287356,-766741,568.0,1953.0,9.7,0.2699999999999996,1953.0,943.57,-185.2199999999999
-769070.6666666664,229.56423626852964,214.8,-781454.2,-58.349999999999966,-2.6114942528735483,-765671,486.0,1954.0,9.13,-0.2999999999999989,1954.0,1291.08,162.28999999999996
-768649.1466666668,230.62690342109488,214.2,-780859.1,-58.94999999999999,-3.211494252873571,-765121,519.0,1955.0,9.27,-0.1600000000000001,1955.0,1000.95,-127.83999999999992
-767701.4236363642,225.86635666623,213.9,-780243.2,-59.24999999999997,-3.511494252873554,-764296,467.0,1956.0,9.05,-0.379999999999999,1956.0,1114.32,-14.470000000000027
-767111.3843939397,221.6409365039408,213.4,-779600.8,-59.74999999999997,-4.011494252873554,-763936,462.0,1957.0,9.69,0.2599999999999998,1957.0,1124.05,-4.740000000000009
-766167.2575757578,223.8179649132784,213.2,-778943.6,-59.94999999999999,-4.211494252873571,-763555,470.0,1958.0,9.3,-0.129999999999999,1958.0,1299.94,171.1500000000001
-765797.1624242424,224.86466602091244,213.5,-778303.6,-59.64999999999998,-3.91149425287356,-763272,500.0,1959.0,10.07,0.6400000000000006,1959.0,1109.97,-18.819999999999936
-764858.9121212122,230.6229188352788,213.8,-777684.2,-59.349999999999966,-3.611494252873548,-763134,535.0,1960.0,9.27,-0.1600000000000001,1960.0,1388.42,259.6300000000001
-764238.504545454,232.1154554720444,214.3,-777094.7,-58.849999999999966,-3.1114942528735483,-762798,518.0,1961.0,9.41,-0.0199999999999995,1961.0,1115.08,-13.710000000000036
-763901.4848484849,229.40748753827657,214.0,-776484.8,-59.14999999999998,-3.41149425287356,-762635,563.0,1962.0,8.59,-0.8399999999999999,1962.0,1086.0,-42.78999999999997
-763636.6363636359,233.66090567198847,213.3,-775835.6,-59.849999999999966,-4.111494252873548,-762193,549.0,1963.0,8.44,-0.9900000000000002,1963.0,1062.91,-65.87999999999988
-763231.816565657,222.92608638468548,212.6,-775138.8,-60.54999999999998,-4.811494252873565,-761868,556.0,1964.0,9.34,-0.0899999999999998,1964.0,1124.71,-4.079999999999927
-762726.8824242424,223.8929501543417,212.0,-774399.4,-61.14999999999998,-5.41149425287356,-761513,538.0,1965.0,8.69,-0.7400000000000002,1965.0,1251.3,122.51
-761820.5842424238,219.9481576823577,211.6,-773634.8,-61.54999999999998,-5.811494252873565,-760877,521.0,1966.0,9.23,-0.1999999999999993,1966.0,1264.89,136.10000000000014
-761151.8036363634,213.9998028589904,211.9,-772891.4,-61.24999999999997,-5.511494252873554,-760089,474.0,1967.0,9.08,-0.3499999999999996,1967.0,1151.61,22.819999999999936
-760216.0430303031,214.6940079861074,212.7,-772202.1,-60.44999999999999,-4.711494252873571,-759624,473.0,1968.0,9.18,-0.25,1968.0,1172.02,43.23000000000002
-759914.4881818183,216.64080861985224,213.1,-771539.3,-60.04999999999998,-4.311494252873565,-758686,454.0,1969.0,8.96,-0.4699999999999988,1969.0,965.37,-163.41999999999996
-758989.9418181818,222.7085788690187,213.5,-770901.0,-59.64999999999998,-3.91149425287356,-758065,462.0,1970.0,9.19,-0.2400000000000002,1970.0,1117.25,-11.539999999999964
-758566.0551515151,225.61582539678184,213.3,-770250.1,-59.849999999999966,-4.111494252873548,-757250,434.0,1971.0,9.71,0.2800000000000011,1971.0,864.01,-264.78
-758158.2727272728,225.37366760867587,213.0,-769581.9,-60.14999999999998,-4.41149425287356,-756867,421.0,1972.0,8.84,-0.5899999999999999,1972.0,1094.4,-34.38999999999987
-757928.2121212124,223.0236554615564,212.4,-768877.0,-60.74999999999997,-5.011494252873554,-756432,486.0,1973.0,9.47,0.0400000000000009,1973.0,1049.56,-79.23000000000002
-757611.8787878784,226.94301148021165,211.6,-768113.6,-61.54999999999998,-5.811494252873565,-756193,498.0,1974.0,9.09,-0.3399999999999998,1974.0,1195.98,67.19000000000005
-757185.6915151512,222.7200859322036,211.2,-767315.5,-61.94999999999999,-6.211494252873571,-756050,498.0,1975.0,9.68,0.25,1975.0,944.2,-184.58999999999992
-756412.4157575755,218.3519526756556,211.0,-766503.0,-62.14999999999998,-6.41149425287356,-755558,505.0,1976.0,9.48,0.0500000000000007,1976.0,1030.26,-98.52999999999996
-755835.4509090913,213.61139014973045,211.2,-765708.0,-61.94999999999999,-6.211494252873571,-755266,480.0,1977.0,9.21,-0.2199999999999988,1977.0,1186.23,57.440000000000055
-754900.6803030302,209.44507971285617,212.1,-764977.0,-61.04999999999998,-5.311494252873565,-755045,473.0,1978.0,9.28,-0.1500000000000003,1978.0,1117.57,-11.220000000000027
-754616.1684848485,208.1036711012396,212.3,-764265.2,-60.849999999999966,-5.111494252873548,-754836,439.0,1979.0,8.54,-0.8900000000000006,1979.0,1217.04,88.25
-753636.8284848488,203.2996954570858,212.6,-763570.0,-60.54999999999998,-4.811494252873565,-754371,419.0,1980.0,9.13,-0.2999999999999989,1980.0,1248.28,119.49
-753164.5775757573,199.046053641412,212.9,-762901.2,-60.24999999999997,-4.511494252873554,-753665,445.0,1981.0,9.21,-0.2199999999999988,1981.0,1183.39,54.600000000000136
-751984.6545454543,203.90279658442105,213.4,-762263.3,-59.74999999999997,-4.011494252873554,-753190,429.0,1982.0,9.42,-0.0099999999999997,1982.0,1294.12,165.32999999999993
-751539.0690909092,195.43388919380428,212.9,-761592.4,-60.24999999999997,-4.511494252873554,-752399,406.0,1983.0,9.69,0.2599999999999998,1983.0,1138.95,10.160000000000082
-750615.8818181817,197.49572596202373,212.0,-760863.4,-61.14999999999998,-5.41149425287356,-752070,410.0,1984.0,9.34,-0.0899999999999998,1984.0,1125.07,-3.7200000000000273
-750023.8681818177,193.54717137122023,211.1,-760064.5,-62.04999999999998,-6.311494252873565,-750618,431.0,1985.0,8.73,-0.6999999999999993,1985.0,1176.76,47.97000000000003
-749086.2499999993,191.296036260158,210.8,-759241.4,-62.349999999999966,-6.611494252873548,-749805,401.0,1986.0,8.36,-1.0700000000000005,1986.0,1273.75,144.96000000000004
-748756.4409090908,192.0759223880364,210.6,-758399.0,-62.54999999999998,-6.811494252873565,-749304,428.0,1987.0,9.07,-0.3599999999999994,1987.0,1037.14,-91.64999999999986
-747864.1786666662,190.17483689562675,210.3,-757534.1,-62.849999999999966,-7.111494252873548,-748653,408.0,1988.0,9.5,0.0700000000000002,1988.0,1235.33,106.53999999999996
-747312.9345454549,188.6788748936121,210.1,-756658.2,-63.04999999999998,-7.311494252873565,-748095,400.0,1989.0,9.96,0.5300000000000011,1989.0,1056.7,-72.08999999999992
-746386.8809090916,187.5437569379241,210.0,-755773.9,-63.14999999999998,-7.41149425287356,-747370,378.0,1990.0,10.0,0.5700000000000003,1990.0,1193.79,65.0
-745990.1957575758,187.9522843282685,210.0,-754887.2,-63.14999999999998,-7.41149425287356,-746920,409.0,1991.0,9.5,0.0700000000000002,1991.0,1074.42,-54.36999999999989
-745227.0375757577,187.91988159174213,209.9,-753987.5,-63.24999999999997,-7.511494252873554,-746283,392.0,1992.0,9.44,0.0099999999999997,1992.0,1136.8,8.009999999999991
-744669.9260606065,190.24154927677864,209.9,-753089.3,-63.24999999999997,-7.511494252873554,-745766,405.0,1993.0,9.27,-0.1600000000000001,1993.0,1232.64,103.85000000000014
-743721.0454545448,187.29232436787936,210.0,-752198.2,-63.14999999999998,-7.41149425287356,-745100,402.0,1994.0,9.48,0.0500000000000007,1994.0,1312.17,183.3800000000001
-742573.1418181813,188.96881973948896,210.1,-751321.9,-63.04999999999998,-7.311494252873565,-744653,428.0,1995.0,10.01,0.5800000000000001,1995.0,1158.88,30.090000000000146
-742009.0763636365,188.1795997771601,210.0,-750433.6,-63.14999999999998,-7.41149425287356,-744055,415.0,1996.0,9.13,-0.2999999999999989,1996.0,1146.77,17.980000000000018
-741112.1696969698,187.3271928405565,210.0,-749542.5,-63.14999999999998,-7.41149425287356,-743522,432.0,1997.0,10.18,0.75,1997.0,1150.4,21.610000000000127
-740694.7490909089,188.64664196412704,209.8,-748641.2,-63.349999999999966,-7.611494252873548,-742824,421.0,1998.0,10.0,0.5700000000000003,1998.0,1318.77,189.98
-739924.1339393943,189.1426274551468,209.9,-747745.2,-63.24999999999997,-7.511494252873554,-742362,422.0,1999.0,10.0,0.5700000000000003,1999.0,1264.76,135.97000000000003
-739379.9024242423,184.7670847091236,210.2,-746871.2,-62.94999999999999,-7.211494252873571,-741756,439.0,2000.0,9.62,0.1899999999999995,2000.0,1288.24,159.45000000000005
-738510.9242424242,183.3925392147808,209.8,-745969.1,-63.349999999999966,-7.611494252873548,-741257,422.0,2001.0,9.54,0.1099999999999994,2001.0,973.28,-155.51
-738156.4524848479,185.40236646163788,209.9,-745072.4,-63.24999999999997,-7.511494252873554,-740553,402.0,2002.0,9.9,0.4700000000000006,2002.0,1453.81,325.02
-737224.5554545455,185.6096600660596,210.0,-744187.8,-63.14999999999998,-7.41149425287356,-740121,409.0,2003.0,10.01,0.5800000000000001,2003.0,1001.85,-126.93999999999994
-736630.9945454549,191.7441063146352,209.7,-743277.4,-63.44999999999999,-7.711494252873571,-739473,388.0,2004.0,9.89,0.4600000000000008,2004.0,1119.15,-9.639999999999873
-735710.1154545457,204.5191038769512,209.5,-742348.2,-63.64999999999998,-7.91149425287356,-738918,414.0,2005.0,10.02,0.5899999999999999,2005.0,1099.32,-29.470000000000027
-735319.8193939395,206.92018121563933,209.4,-741409.9,-63.74999999999997,-8.011494252873554,-738262,411.0,2006.0,10.14,0.7100000000000009,2006.0,1213.15,84.36000000000013
-734572.2181818187,213.14402038614645,209.8,-740505.4,-63.349999999999966,-7.611494252873548,-737860,403.0,2007.0,10.27,0.8399999999999999,2007.0,1103.07,-25.720000000000027
-734157.3054545454,217.1944729687879,210.0,-739614.7,-63.14999999999998,-7.41149425287356,-737323,408.0,2008.0,9.64,0.2100000000000008,2008.0,1352.58,223.79
-733459.909090909,217.88283774216444,209.9,-738722.8,-63.24999999999997,-7.511494252873554,-736869,407.0,2009.0,9.66,0.2300000000000004,2009.0,1382.19,253.4000000000001
-733184.5709090909,214.6624205315424,210.0,-737838.8,-63.14999999999998,-7.41149425287356,-736180,423.0,2010.0,8.71,-0.7199999999999989,2010.0,1055.1,-73.69000000000005
-732512.6199999998,216.1485998526368,210.1,-736963.9,-63.04999999999998,-7.311494252873565,-735872,508.0,2011.0,9.76,0.33,2011.0,1175.29,46.5
-732072.2299999999,210.60174265873587,210.7,-736133.7,-62.44999999999999,-6.711494252873571,-735336,542.0,2012.0,9.5,0.0700000000000002,2012.0,1218.65,89.86000000000013
-731378.9999999995,207.72075200492253,211.2,-735349.4,-61.94999999999999,-6.211494252873571,-734973,561.0,2013.0,9.49,0.0600000000000005,2013.0,1126.59,-2.200000000000045
-731043.4999999999,208.1143039021245,212.5,-734653.1,-60.64999999999998,-4.91149425287356,-734463,546.0,2014.0,10.09,0.6600000000000001,2014.0,1357.32,228.53
-730371.75,213.7318787827168,212.9,-733985.8,-60.24999999999997,-4.511494252873554,-734107,541.0,2015.0,9.44,0.0099999999999997,2015.0,1372.15,243.36000000000013
-729910.9999999998,211.62321092369945,213.5,-733357.6,-59.64999999999998,-3.91149425287356,-733574,518.0,2016.0,9.75,0.3200000000000003,2016.0,1128.37,-0.4200000000000727
-729234.2272727275,210.702373057978,213.0,-732700.8,-60.14999999999998,-4.41149425287356,-733151,531.0,2017.0,9.99,0.5600000000000005,2017.0,1178.49,49.700000000000045
-728958.3136363637,210.16351745201928,213.6,-732077.6,-59.54999999999998,-3.811494252873565,-732638,520.0,2018.0,9.69,0.2599999999999998,2018.0,1209.96,81.17000000000007
-728310.314545455,212.1716466152816,214.4,-731500.4,-58.74999999999997,-3.011494252873554,-732244,519.0,2019.0,9.86,0.4299999999999997,2019.0,1293.03,164.24
-727886.9384848482,210.0149974521128,213.1,-730850.9,-60.04999999999998,-4.311494252873565,-731698,530.0,2020.0,9.78,0.3499999999999996,2020.0,1355.8,227.01
-727037.5303030305,211.0778130948141,214.0,-730251.8,-59.14999999999998,-3.41149425287356,-731209,525.0,2021.0,9.94,0.5099999999999998,2021.0,1150.11,21.319999999999936
-726643.9021212123,210.24197486380825,213.7,-729639.6,-59.44999999999999,-3.711494252873571,-730511,521.0,2022.0,10.35,0.92,2022.0,1152.55,23.75999999999999
-725948.5024242426,210.0675097854836,213.4,-729012.5,-59.74999999999997,-4.011494252873554,-730196,537.0,,,,,,
-724626.8636363636,211.42656926315465,214.2,-728426.1,-58.94999999999999,-3.211494252873571,-729492,512.0,,,,,,
-724299.591818182,211.075995557622,213.8,-727819.4,-59.349999999999966,-3.611494252873548,-729077,538.0,,,,,,
-723524.4313636366,211.49197634968232,213.8,-727213.5,-59.349999999999966,-3.611494252873548,-728293,545.0,,,,,,
-723025.3554545457,210.4806821716978,213.2,-726574.8,-59.94999999999999,-4.211494252873571,-727804,551.0,,,,,,
-722191.9999999999,214.0125927948141,212.0,-725854.0,-61.14999999999998,-5.41149425287356,-726923,530.0,,,,,,
-721830.2266666669,212.54540888381376,211.9,-725126.2,-61.24999999999997,-5.511494252873554,-726503,559.0,,,,,,
-721044.5945454545,212.108071771009,212.8,-724460.6,-60.349999999999966,-4.611494252873548,-725757,531.0,,,,,,
-720555.8105454544,216.09677010835367,212.8,-723798.9,-60.349999999999966,-4.611494252873548,-725230,541.0,,,,,,
-719739.8636363633,218.956944794401,212.4,-723110.0,-60.74999999999997,-5.011494252873554,-724545,504.0,,,,,,
-719457.5168181815,219.2003556861584,212.3,-722412.2,-60.849999999999966,-5.111494252873548,-723919,561.0,,,,,,
-718640.7595454546,217.0426911316349,212.1,-721701.1,-61.04999999999998,-5.311494252873565,-722970,478.0,,,,,,
-718137.2854545454,212.030518626341,212.2,-720996.6,-60.94999999999999,-5.211494252873571,-722423,581.0,,,,,,
-717337.1818181823,200.8234844705578,212.0,-720284.1,-61.14999999999998,-5.41149425287356,-721738,560.0,,,,,,
-716828.348484849,193.46090298257133,213.1,-719640.3,-60.04999999999998,-4.311494252873565,-721022,566.0,,,,,,
-716005.4848484852,189.87843381686548,212.4,-718954.2,-60.74999999999997,-5.011494252873554,-719971,515.0,,,,,,
-715398.2727272725,198.42559568024177,211.4,-718197.4,-61.74999999999997,-6.011494252873554,-719308,491.0,,,,,,
-714635.909090909,210.5098874628876,212.5,-717516.6,-60.64999999999998,-4.91149425287356,-718583,401.0,,,,,,
-714360.1630303029,213.5999929026329,212.6,-716841.0,-60.54999999999998,-4.811494252873565,-717692,408.0,,,,,,
-713615.3763636363,227.5826981949172,210.3,-716003.6,-62.849999999999966,-7.111494252873548,-716685,392.0,,,,,,
-713165.732727273,223.14262795384457,211.1,-715222.3,-62.04999999999998,-6.311494252873565,-716013,403.0,,,,,,
-712453.7969696966,227.08319713303533,211.3,-714460.1,-61.849999999999966,-6.111494252873548,-715245,399.0,,,,,,
-712115.578181818,227.6373405550536,212.9,-713806.0,-60.24999999999997,-4.511494252873554,-714513,435.0,,,,,,
-711362.5,223.8856925917568,211.7,-713075.3,-61.44999999999999,-5.711494252873571,-713700,531.0,,,,,,
-710293.7272727275,224.001743721128,212.9,-712423.6,-60.24999999999997,-4.511494252873554,-713165,570.0,,,,,,
-710071.4654545452,224.1234469162136,213.1,-711785.3,-60.04999999999998,-4.311494252873565,-712239,577.0,,,,,,
-709449.0436363637,225.3889691337453,212.9,-711137.1,-60.24999999999997,-4.511494252873554,-711788,593.0,,,,,,
-709033.3563636366,224.9017352890244,213.9,-710545.1,-59.24999999999997,-3.511494252873554,-711060,597.0,,,,,,
-708506.4545454548,227.032822730358,214.1,-709965.1,-59.04999999999998,-3.3114942528735654,-710415,588.0,,,,,,
-707959.5454545452,230.50735989141307,214.2,-709390.7,-58.94999999999999,-3.211494252873571,-709619,573.0,,,,,,
-707503.7878787875,231.43297127712552,213.4,-708773.2,-59.74999999999997,-4.011494252873554,-709001,591.0,,,,,,
-707009.1515151514,234.83616059567032,213.8,-708180.1,-59.349999999999966,-3.611494252873548,-708191,556.0,,,,,,
-706463.4484848484,233.1122848743296,213.9,-707593.8,-59.24999999999997,-3.511494252873554,-707809,568.0,,,,,,
-706249.6806060602,233.5834734270881,214.0,-707010.2,-59.14999999999998,-3.41149425287356,-707681,611.0,,,,,,
-705693.7254545457,233.50528810247425,213.9,-706423.6,-59.24999999999997,-3.511494252873554,-706904,521.0,,,,,,
-705360.6972727273,238.8480696520816,214.1,-705846.8,-59.04999999999998,-3.3114942528735654,-706420,512.0,,,,,,
-704760.7395454546,236.0453403013913,214.0,-705263.8,-59.14999999999998,-3.41149425287356,-705649,505.0,,,,,,
-704542.9518181819,236.0536913584069,214.5,-704709.1,-58.64999999999998,-2.91149425287356,-705203,519.0,,,,,,
-704103.1981818182,237.661231516828,214.4,-704151.8,-58.74999999999997,-3.011494252873554,-704452,610.0,,,,,,
-703776.9518181817,237.18468030646915,214.3,-703588.7,-58.849999999999966,-3.1114942528735483,-704027,610.0,,,,,,
-703293.9090909093,235.09172492612444,214.3,-703023.4,-58.849999999999966,-3.1114942528735483,-703387,585.0,,,,,,
-703103.3442424244,234.04269676194463,214.2,-702455.8,-58.94999999999999,-3.211494252873571,-702911,602.0,,,,,,
-702631.8054545454,233.54448715907165,214.5,-701902.8,-58.64999999999998,-2.91149425287356,-702258,588.0,,,,,,
-702300.5218181817,232.8295884774548,214.7,-701362.6,-58.44999999999999,-2.711494252873571,-701926,593.0,,,,,,
-701846.0731818182,232.2805206457517,214.7,-700823.1,-58.44999999999999,-2.711494252873571,-701377,582.0,,,,,,
-701518.5218181817,233.3539062097976,214.8,-700291.4,-58.349999999999966,-2.6114942528735483,-700968,605.0,,,,,,
-701059.9848484849,230.58782898361125,215.1,-699773.2,-58.04999999999998,-2.3114942528735654,-700513,594.0,,,,,,
-700784.2727272725,232.1824465330735,215.4,-699270.8,-57.74999999999997,-2.011494252873554,-700102,584.0,,,,,,
-700250.9236363637,232.162121529527,215.5,-698772.9,-57.64999999999998,-1.91149425287356,-699581,571.0,,,,,,
